# Age =     0.037774
# [Fe/H]_init  =     0.133103
# ranom =     0.000000
# Mass         Radius         logL           logg           Teff           [Fe/H]_surf    Radius_0       Teff_0         logg_0         Xc             
     0.67659992     0.60164762    -0.95476228     4.70943737  4297.97656250     0.12936820     0.60164762  4297.97656250     4.70943737     0.70631993
     0.67728388     0.60235083    -0.95297205     4.70886278  4299.92382812     0.12936907     0.60235083  4299.92382812     4.70886278     0.70631981
     0.67796779     0.60305095    -0.95118493     4.70829248  4301.87158203     0.12936874     0.60305095  4301.87158203     4.70829248     0.70632082
     0.67865169     0.60374546    -0.94940114     4.70772791  4303.79199219     0.12936607     0.60374546  4303.79199219     4.70772791     0.70632023
     0.67933565     0.60443628    -0.94762212     4.70717192  4305.71582031     0.12936257     0.60443628  4305.71582031     4.70717192     0.70631754
     0.68001956     0.60512573    -0.94585013     4.70662355  4307.67089844     0.12936045     0.60512573  4307.67089844     4.70662355     0.70631278
     0.68070352     0.60580891    -0.94408619     4.70608091  4309.62500000     0.12936074     0.60580891  4309.62500000     4.70608091     0.70631146
     0.68138742     0.60648096    -0.94233936     4.70554686  4311.53710938     0.12936334     0.60648096  4311.53710938     4.70554686     0.70631516
     0.68207133     0.60714597    -0.94062030     4.70503330  4313.43066406     0.12936540     0.60714597  4313.43066406     4.70503330     0.70631379
     0.68275529     0.60779780    -0.93893242     4.70454073  4315.34472656     0.12936775     0.60779780  4315.34472656     4.70454073     0.70630962
     0.68343920     0.60843277    -0.93729246     4.70406771  4317.20019531     0.12937084     0.60843277  4317.20019531     4.70406771     0.70630807
     0.68412316     0.60905164    -0.93570620     4.70361853  4318.94726562     0.12937047     0.60905164  4318.94726562     4.70361853     0.70630944
     0.68480706     0.60965341    -0.93417245     4.70319557  4320.59521484     0.12936746     0.60965341  4320.59521484     4.70319557     0.70630789
     0.68549097     0.61024272    -0.93269366     4.70279264  4322.18701172     0.12937289     0.61024272  4322.18701172     4.70279264     0.70630687
     0.68617493     0.61081141    -0.93126935     4.70241356  4323.73437500     0.12937474     0.61081141  4323.73437500     4.70241356     0.70630825
     0.68685883     0.61139530    -0.92981976     4.70201111  4325.24414062     0.12937878     0.61139530  4325.24414062     4.70201111     0.70630795
     0.68754280     0.61200339    -0.92832017     4.70157480  4326.83789062     0.12937449     0.61200339  4326.83789062     4.70157480     0.70631093
     0.68822670     0.61261904    -0.92681611     4.70113611  4328.41552734     0.12937930     0.61261904  4328.41552734     4.70113611     0.70630860
     0.68891060     0.61328208    -0.92516464     4.70063305  4330.19335938     0.12937868     0.61328208  4330.19335938     4.70063305     0.70631033
     0.68959457     0.61396134    -0.92345351     4.70009089  4332.03369141     0.12937857     0.61396134  4332.03369141     4.70009089     0.70631337
     0.69027847     0.61466038    -0.92168206     4.69953394  4333.97460938     0.12938105     0.61466038  4333.97460938     4.69953394     0.70631307
     0.69096243     0.61537522    -0.91980767     4.69895267  4336.11621094     0.12938075     0.61537522  4336.11621094     4.69895267     0.70631939
     0.69164634     0.61609787    -0.91793120     4.69836283  4338.32128906     0.12938255     0.61609787  4338.32128906     4.69836283     0.70632356
     0.69233024     0.61682349    -0.91602892     4.69777441  4340.49609375     0.12938763     0.61682349  4340.49609375     4.69777441     0.70632589
     0.69301420     0.61754066    -0.91413277     4.69719648  4342.71777344     0.12939018     0.61754066  4342.71777344     4.69719648     0.70633066
     0.69369811     0.61825758    -0.91223598     4.69661522  4344.93798828     0.12939060     0.61825758  4344.93798828     4.69661522     0.70633680
     0.69438207     0.61897749    -0.91033506     4.69603348  4347.13525391     0.12939204     0.61897749  4347.13525391     4.69603348     0.70634151
     0.69506598     0.61968714    -0.90846127     4.69547081  4349.33593750     0.12939270     0.61968714  4349.33593750     4.69547081     0.70634729
     0.69574988     0.62038839    -0.90660465     4.69491482  4351.56201172     0.12938845     0.62038839  4351.56201172     4.69491482     0.70635545
     0.69643384     0.62108952    -0.90475142     4.69435453  4353.75097656     0.12938596     0.62108952  4353.75097656     4.69435453     0.70636666
     0.69711775     0.62179148    -0.90290451     4.69379711  4355.88574219     0.12938742     0.62179148  4355.88574219     4.69379711     0.70637852
     0.69780171     0.62248689    -0.90108120     4.69325638  4358.02636719     0.12938820     0.62248689  4358.02636719     4.69325638     0.70638740
     0.69848561     0.62317836    -0.89927232     4.69272470  4360.16113281     0.12938994     0.62317836  4360.16113281     4.69272470     0.70639527
     0.69916952     0.62386894    -0.89746660     4.69219065  4362.29199219     0.12939338     0.62386894  4362.29199219     4.69219065     0.70640337
     0.69985348     0.62455827    -0.89566618     4.69165707  4364.40917969     0.12939426     0.62455827  4364.40917969     4.69165707     0.70641118
